EURCAD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/19/2024 00:00,1.46714,1.46867,1.4625,1.4633,-38.4,-0.26,
01/18/2024 00:00,1.46969,1.47092,1.4647,1.46717,-25.2,-0.17,
01/17/2024 00:00,1.4667,1.47166,1.4657,1.46969,29.9,0.20,
01/16/2024 00:00,1.47051,1.47269,1.463,1.46742,-30.9,-0.21,
01/15/2024 00:00,1.46734,1.4725,1.4666,1.47051,31.7,0.22,
01/14/2024 00:00,1.46658,1.4681,1.46658,1.46733,7.5,0.05,
01/12/2024 00:00,1.4688,1.46945,1.4621,1.4676,-12,-0.08,
01/11/2024 00:00,1.4679,1.47194,1.465,1.4689,10,0.07,
01/10/2024 00:00,1.46365,1.46825,1.4619,1.46812,44.7,0.30,
01/09/2024 00:00,1.46184,1.46775,1.46,1.46372,18.8,0.13,
01/08/2024 00:00,1.46173,1.46891,1.46043,1.46181,0.8,0.01,
01/07/2024 00:00,1.45992,1.46261,1.45992,1.46172,18.0,0.12,
01/05/2024 00:00,1.46197,1.46449,1.4564,1.4633,13.3,0.09,
01/04/2024 00:00,1.45837,1.46441,1.4554,1.4616,32.3,0.22,
01/03/2024 00:00,1.45756,1.46119,1.4549,1.458,4.4,0.03,
01/02/2024 00:00,1.46169,1.46235,1.4545,1.45755,-41.4,-0.28,
01/01/2024 00:00,1.4621,1.4634,1.4547,1.46161,-4.9,-0.03,
12/29/2023 00:00,1.4641,1.46903,1.42079,1.4614,-27,-0.18,
12/28/2023 00:00,1.4663,1.4718,1.4603,1.46416,-21.4,-0.15,
12/27/2023 00:00,1.45716,1.46861,1.4548,1.46651,93.5,0.64,
12/26/2023 00:00,1.46014,1.46234,1.4545,1.45726,-28.8,-0.20,
12/25/2023 00:00,1.45835,1.4632,1.43654,1.46005,17.0,0.12,
12/24/2023 00:00,1.4582,1.4582,1.45735,1.45735,-8.5,-0.06,
12/22/2023 00:00,1.46195,1.46489,1.4314,1.4615,-4.5,-0.03,
12/21/2023 00:00,1.46195,1.46696,1.4586,1.46198,0.3,0.00,
12/20/2023 00:00,1.46444,1.46458,1.458,1.46184,-26.0,-0.18,
12/19/2023 00:00,1.46348,1.4683,1.4614,1.46444,9.6,0.07,
12/18/2023 00:00,1.45791,1.46443,1.45689,1.46348,55.7,0.38,
