Open,High,Low,Close,Volume,RSI_14,RSI_5,Three Advancing White Soldiers,ATR_14,ATR_22,Doji,Doji Star,Hammer,Dragonfly Doji,Engulfing Pattern,Dark Cloud Cover,Marubozu,Evening Doji Star,Evening Star,Gravestone Doji,Hanging Man,Harami Pattern,Inverted Hammer,Ladder Bottom,Long Legged Doji,Matching Low,Mat Hold,Morning Star,Morning Doji Star,Piercing Pattern,Separating Lines,Shooting Star,Spinning Top,Tasuki Gap,Tristar Pattern,Unique 3 River,EMA_14,EMA_20,EMA_21,EMA_50,EMA_100,EMA_200
0.7905,0.7941,0.7878,0.7929,0.0034791865682953396,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7928,0.7932,0.7894,0.7895,0.0013994296531035966,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.7913,0.7851,0.7857,0.0027389341069559057,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7856,0.7876,0.7839,0.7852,0.0023511828176828687,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7894,0.795,0.7864,0.7924,0.004889191256560928,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7925,0.7935,0.7876,0.7896,0.0030209350446090233,0.0,0.41720863612891285,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7896,0.7928,0.788,0.7924,0.0022806825832695893,0.0,0.5176568631843227,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7922,0.7967,0.791,0.7943,0.003161935513435582,0.0,0.580054326627254,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7941,0.7958,0.7915,0.7929,0.0024921832865094275,0.0,0.5210988688738761,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7914,0.7924,0.7886,0.789,0.001716680707963354,0.0,0.3848823157536603,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7892,0.791,0.7833,0.7837,0.0033734362166754203,0.0,0.2665299300022941,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
