list1 ;list2 ;list3 ;list4 ;list5;list6;list7;list8;list9;list10 ;list11;list12;list13 ;list14 ;list15;list16 ;list17;list18 ;list19;list20 
68;80;45;66;70;63;47;15;56;59;30;69;49;54;40;19;74;62;4;41
65;14;12;42;56;64;66;80;30;73;62;35;53;6;69;72;68;71;3;60
46;55;59;58;80;37;60;30;38;7;31;27;53;45;61;35;68;70;72;67
45;42;77;40;17;31;44;6;37;18;26;47;21;69;70;65;36;61;43;67
27;50;63;62;68;70;28;38;2;73;36;4;12;9;60;65;79;53;31;29
35;10;6;64;57;66;24;69;71;63;68;43;58;28;42;55;72;50;47;16
78;5;39;26;23;62;1;38;41;33;29;35;20;58;70;43;77;14;16;7
2;8;70;68;48;28;76;5;13;75;11;45;26;19;44;15;52;25;35;38
31;46;63;30;16;20;28;41;22;70;43;44;39;73;27;69;5;57;68;3
33;21;62;45;41;26;65;25;44;19;51;2;3;16;13;31;37;40;12;72
64;36;58;38;51;28;33;3;30;54;70;9;72;34;23;24;27;60;69;21
35;27;37;24;49;18;33;79;57;55;23;69;72;36;44;63;4;8;64;13
50;17;29;59;54;62;47;13;36;27;26;71;65;31;64;57;51;10;34;28
42;58;27;9;19;4;48;68;76;63;45;13;28;55;14;54;78;32;1;16
61;67;3;69;1;11;15;36;39;23;60;72;47;56;13;57;64;40;4;7
72;6;66;23;53;55;59;34;50;13;7;21;5;2;41;40;3;25;14;69
28;26;48;33;76;44;41;24;64;51;4;79;55;1;65;38;58;77;2;61
57;70;59;44;8;62;32;46;7;80;31;42;60;26;13;49;10;53;75;29
33;5;38;79;44;76;2;54;41;6;50;15;56;13;30;26;72;36;39;29
77;49;36;48;33;18;76;39;58;51;40;26;21;56;37;66;74;29;50;54
51;22;67;65;28;50;27;72;58;49;12;79;45;21;34;78;4;10;17;76
54;80;72;35;65;71;49;31;15;56;28;77;62;43;79;39;7;24;27;68
51;25;78;22;74;7;6;30;48;19;35;66;33;58;29;70;67;40;43;57
66;23;74;20;78;65;79;76;8;7;45;2;6;29;52;15;3;80;28;50
28;51;59;49;79;38;13;1;12;7;47;61;57;36;19;64;52;17;14;2
57;68;69;41;33;64;65;73;15;79;14;56;2;7;25;53;30;29;37;26
22;78;18;75;5;17;37;31;46;1;35;9;23;47;7;72;55;79;48;10
58;1;38;55;11;5;80;16;36;39;37;76;24;31;28;20;18;46;40;4
44;64;48;73;67;56;10;16;32;39;37;4;43;42;7;63;25;47;24;22
29;35;72;40;45;73;22;7;70;4;78;74;48;51;55;61;43;27;80;3
35;18;21;33;44;38;34;25;42;64;74;58;12;78;10;22;49;17;46;32
22;3;9;53;35;5;16;13;62;57;24;77;31;45;65;46;64;20;52;29
38;12;14;57;1;23;9;6;10;22;79;21;74;34;7;62;77;3;37;41
34;41;60;70;20;65;49;15;76;19;24;45;71;14;51;64;79;9;39;37
17;77;49;46;80;36;59;61;76;12;25;11;40;31;34;62;22;37;68;73
69;68;64;5;8;22;36;20;55;52;67;12;24;38;57;44;80;31;18;3
37;75;9;23;18;8;3;33;7;5;27;77;14;6;62;46;20;60;36;21
46;28;2;64;37;50;79;7;23;44;17;47;19;65;78;69;27;54;49;68
21;54;3;47;22;42;67;59;28;35;26;78;10;45;17;27;11;77;25;75
20;9;12;4;59;42;15;68;72;30;18;40;2;70;65;71;66;21;57;6
44;26;50;4;12;52;21;8;55;64;59;74;35;51;69;61;53;29;30;75
9;15;26;43;44;5;58;71;50;55;75;38;14;18;76;1;52;8;49;39
53;50;12;20;1;8;9;40;62;24;57;70;49;3;56;47;61;19;39;35
17;9;32;3;11;67;59;31;20;45;33;43;58;29;71;60;68;35;19;63
67;27;63;72;65;8;10;41;43;18;22;7;45;59;58;47;73;76;29;60
39;69;15;60;61;46;20;47;74;14;34;18;32;13;65;19;51;78;30;58
11;59;61;32;3;79;33;18;34;35;24;80;10;28;49;73;56;20;8;78
38;47;30;48;51;4;33;9;40;79;78;75;2;57;44;70;41;63;43;16
48;14;34;75;16;6;54;8;60;51;21;24;74;22;63;46;35;41;58;43
43;19;61;29;47;66;37;69;31;13;8;63;40;36;18;27;32;4;22;78
28;6;25;61;65;56;31;21;43;54;52;76;20;50;2;1;15;22;74;17
38;69;54;45;14;30;9;40;25;67;51;80;78;7;75;48;74;6;26;35
30;38;37;67;27;62;61;79;66;28;35;74;73;45;8;53;1;42;10;21
73;18;41;22;53;40;64;31;11;30;58;72;36;68;29;69;4;80;54;77
56;1;24;31;34;57;33;46;13;65;55;19;10;71;20;27;4;59;25;36
14;53;45;48;50;4;55;69;18;32;80;67;54;51;78;43;44;47;66;68
64;58;1;71;47;51;65;31;72;34;5;30;37;69;8;49;44;75;7;36
31;39;3;55;73;63;77;50;17;22;72;5;18;78;70;16;34;53;33;43
32;56;40;26;37;20;30;55;69;43;76;18;58;11;27;67;39;45;23;13
33;31;8;3;35;41;55;53;54;7;45;76;14;15;11;1;38;73;16;63
70;26;69;4;71;51;52;28;64;59;60;56;42;14;57;9;25;29;20;79
29;72;74;45;80;70;48;75;46;65;44;1;60;35;30;64;11;5;27;33
42;78;27;18;56;60;39;79;57;16;26;20;37;45;74;33;10;75;21;9
23;47;52;66;76;9;40;80;41;1;43;37;15;62;70;30;65;32;53;34
9;36;26;77;1;64;45;25;6;62;43;59;80;65;33;34;32;78;21;56
49;28;60;44;17;25;69;10;20;23;5;24;39;19;62;7;13;35;33;70
56;65;20;68;63;70;39;79;48;6;12;78;47;46;15;33;60;4;28;45
15;12;6;56;46;1;24;71;80;65;68;8;4;38;62;23;41;26;44;78
17;30;44;51;32;7;70;2;71;80;33;42;67;34;63;47;31;43;48;3
78;48;70;13;19;9;32;4;61;2;36;44;72;74;26;17;41;58;12;65
64;65;12;45;30;48;3;68;76;27;16;1;66;41;13;24;67;18;73;63
23;28;57;35;76;39;45;79;38;26;20;74;11;31;6;27;66;50;7;4
80;6;3;67;24;11;43;78;50;52;31;9;56;36;28;59;34;79;71;69
10;60;71;31;65;33;64;13;29;25;54;46;43;1;59;27;45;68;50;38
70;59;25;64;32;41;20;11;1;36;26;42;4;71;79;45;8;76;21;69
22;76;48;19;40;2;23;21;79;51;55;68;35;11;74;24;70;8;78;3
22;2;16;13;15;33;14;20;72;24;76;58;80;71;17;70;66;35;26;57
77;64;43;18;3;37;50;70;19;80;75;6;9;31;17;25;42;1;66;61
77;32;26;25;63;60;50;19;75;54;30;76;58;70;65;55;40;41;68;27
51;60;2;46;57;49;14;38;77;12;78;5;3;47;43;52;27;75;61;56
4;15;79;74;75;34;42;7;53;13;61;10;12;19;60;43;67;70;72;9
4;32;58;52;78;71;28;42;65;44;17;43;64;37;7;72;61;40;67;10
4;45;9;38;36;51;52;31;70;3;10;43;1;65;11;14;63;42;44;17
43;46;15;80;66;56;64;38;57;79;58;1;27;28;49;6;40;54;74;75
33;23;76;53;10;67;60;26;35;47;57;1;69;19;36;65;11;13;15;42
11;78;49;17;69;53;13;16;72;4;41;57;75;54;62;23;9;21;71;61
60;75;24;79;14;23;76;67;41;50;7;46;48;21;8;6;80;34;36;1
29;73;10;38;28;27;58;5;78;51;19;33;79;71;47;77;43;61;74;26
59;49;19;35;62;44;73;69;77;63;9;45;71;27;38;72;30;3;66;29
51;66;64;5;35;19;16;44;48;75;49;33;28;31;73;53;21;18;78;63
71;43;57;33;42;64;2;40;12;51;35;80;75;38;28;9;1;36;76;67
44;40;37;47;63;49;67;46;79;8;43;12;68;74;73;7;38;5;71;9
75;51;35;12;73;78;18;21;67;32;44;19;70;36;5;53;71;20;37;26
70;48;5;21;37;75;53;28;49;50;47;20;78;62;8;26;72;34;41;36
43;42;11;36;69;79;19;73;22;51;59;5;48;58;12;23;45;61;78;57
53;61;38;63;79;77;49;4;9;65;70;47;45;13;60;78;12;18;19;23
70;77;25;62;71;10;24;27;66;64;26;55;19;23;41;38;4;56;54;80
